# Simulation data for the Moran line walk.
# By mean l, mean t or mean h we refer to l bar, t bar or h bar which are the mean length, time and height in the considered landscape (starting from randomly chosen nodes; in practice, there is a fixed number of walks per starting node). 
# Fixation probability within individual demes is Moran fixation probability (with deterministic steady-state population size).
# If the fixation probability within a deme is inferior to 1e-150, the overall fixation probability is set to 0.
# landscape considered: landscape C (L = 3) which corresponds to the 142706th landscape in the file <landscapes.pickle>.
# Death rates: gw = gm = 0.01. 
# FIXED number of walks per starting node = 10^5.
# alpha = mR / mL = 0.01.
# Carrying capacity C of each deme = 20.
# (0) mean l (1) mean h (2) mean t (3) SD_l (4) SD_h (5) SD_t (6) mean SD_h_i (7) Number of demes D 
1.0644375 1.6720027212543864 4.34997375 0.7485254228048177 0.6179855254898559 4.972057634829106 0.21496553777747465 1
1.07472375 1.688362142114497 4.43016875 0.7544137533088925 0.6043876534525117 5.0278125061266925 0.19335848325883528 2
1.078865 1.694945254140438 4.45361625 0.756733316149286 0.5987025625119048 5.038191991934049 0.18168743868750317 3
1.08103 1.6983868327788136 4.4690075 0.7579341258242974 0.5956799052137207 5.047455741762951 0.17443790187710456 4
1.08258625 1.700860715806971 4.49306 0.7587923044549018 0.5934853133125259 5.073395986547633 0.1692756687821058 5
1.0839075 1.702961032562595 4.5062375 0.7595176307697195 0.5916076043782944 5.094871793627675 0.1642420586427339 6
1.08514375 1.7049262296026253 4.512695 0.760193588394691 0.5898385085183823 5.0907110345233315 0.16053295276609172 7
1.086045 1.7063588959988507 4.52620625 0.7606847296770983 0.5885413165831095 5.106124580593286 0.15675976877309689 8
1.08648625 1.7070603262871495 4.5203 0.7609246865236782 0.5879038974877405 5.087949037668634 0.15406358970954506 9
1.08706 1.7079723843674077 4.52247 0.7612362027695967 0.5870727837199765 5.095410689954443 0.1518225976049126 10
