# Simulation data for the Moran line walk.
# By mean l, mean t or mean h we refer to l bar, t bar or h bar which are the mean length, time and height in the considered landscape (starting from randomly chosen nodes; in practice, there is a fixed number of walks per starting node). 
# Fixation probability within individual demes is Moran fixation probability (with deterministic steady-state population size).
# If the fixation probability within a deme is inferior to 1e-150, the overall fixation probability is set to 0.
# landscape considered: landscape C (L = 3) which corresponds to the 142706th landscape in the file <landscapes.pickle>.
# Death rates: gw = gm = 0.01. 
# Within each landscape, FIXED number of walks per starting node = 10^5.
# alpha = mR / mL = 0.1.
# Carrying capacity C of each deme = 20.
# (0) mean l (1) mean h (2) mean t (3) SD_l (4) SD_h (5) SD_t (6) mean SD_h_i (7) Number of demes D
1.06414625 1.6715397375230248 4.34944 0.7483592109531654 0.618359706732998 4.982530399968199 0.215435115292176 1
1.0680075 1.6776856975279337 4.368715 0.7505880894008786 0.6133455023553113 4.988796873870334 0.20759171747851426 2
1.0688375 1.6790051018096275 4.3772 0.7510651759930256 0.6122556635597164 4.991830091250538 0.20601277356327655 3
1.06886375 1.6790468299571015 4.3862575 0.7510802446775104 0.6122211177166228 5.00771581097196 0.20555843620977596 4
1.06844875 1.678387127816267 4.38077375 0.7508418732489436 0.6127667101697833 4.996220081366507 0.20585489154642253 5
1.06880875 1.6789593995529055 4.37290125 0.751048670807935 0.6122934939497067 4.995074664883069 0.20553336068127975 6
1.0692525 1.6796648039504787 4.37333 0.7513032618320069 0.6117089488285845 4.986993303720111 0.20526010892392438 7
1.06927 1.6796926227154605 4.388935 0.7513132949102556 0.6116858682193459 5.011625192084544 0.20493699616477182 8
1.06874375 1.6788560727115585 4.37750625 0.7510113493376219 0.6123790023861332 4.996023697030432 0.20616522410428154 9
1.06815875 1.677926131139534 4.37089875 0.7506751193383381 0.6131472580946987 4.988050006487356 0.20678367185138247 10
