# Simulation data for the Wright-Fisher line walk.
# By mean l, mean t or mean h we refer to l bar, t bar or h bar which are the mean length, time and height in the considered landscape (starting from randomly chosen nodes; in practice, there is a fixed number of walks per starting node). 
# Fixation probability within individual demes is Wright-Fisher fixation probability (with deterministic steady-state population size).
# If the fixation probability within a deme is inferior to 1e-150, the overall fixation probability is set to 0.
# landscape considered: landscape C (L = 3) which corresponds to the 142706th landscape in the file <landscapes.pickle>.
# Death rates: gw = gm = 0.01. 
# FIXED number of walks per starting node = 10^5.
# alpha = mR / mL = 0.01.
# Carrying capacity C of each deme = 20.
# (0) mean l (1) mean h (2) mean t (3) SD_l (4) SD_h (5) SD_t (6) mean SD_h_i (7) Number of demes D
1.0521375 1.6524580518047232 2.671735 0.741228157239352 0.6332948449040685 2.869857938954287 0.23043997209101283 1
1.05520375 1.6573322968393538 2.6882525 0.7430722010548579 0.6295684954894665 2.8760660625658994 0.22480623619924758 2
1.05567625 1.658083403493701 2.6907075 0.7433548312761493 0.6289889543521914 2.8811344379342105 0.22353558381970393 3
1.05603625 1.6586556752303359 2.6923975 0.7435698949599207 0.6285464380993949 2.8831494414978645 0.22314352857096462 4
1.055795 1.658272173684612 2.6938075 0.7434257985668353 0.6288430774117832 2.883243165770276 0.2233619539676818 5
1.05547125 1.6577575265325664 2.691735 0.7432322587343217 0.6292405711465459 2.8879880868461796 0.22408364643695355 6
1.0556 1.6579621931605943 2.693115 0.7433092492329881 0.6290825749924733 2.8890290924169286 0.22389581306123327 7
1.0559525 1.658522542569387 2.688855 0.7435198838985534 0.6286494588852721 2.876228657278781 0.2234124047880329 8
1.05502 1.6570401998071265 2.68568125 0.7429621791222654 0.6297934866465374 2.8833899273920416 0.22479445433002765 9
1.05484125 1.6567560509934396 2.6875575 0.7428550917286799 0.6300121485568018 2.882081658148966 0.22527142583775575 10
