# Simulation data for the Moran star walk.
# By mean l, mean t or mean h we refer to l bar, t bar or h bar which are the mean length, time and height in the considered landscape (starting from randomly chosen nodes; in practice, there is a fixed number of walks per starting node). 
# Fixation probability within individual demes is Moran fixation probability (with deterministic steady-state population size).
# If the fixation probability within a deme is inferior to 1e-150, the overall fixation probability is set to 0.
# landscape considered: landscape C (L = 3) which corresponds to the 142706th landscape in the file <landscapes.pickle>.
# Death rates: gw = gm = 0.01. 
# Within each landscape, FIXED number of walks per starting node = 10^5.
# alpha = mI / mO = 0.01.
# Carrying capacity C of each deme = 20.
# See Marrec et al (2021) in PRL for further details about the fixation dynamics within stars. 
# (0) mean l (1) mean h (2) mean t (3) SD_l (4) SD_h (5) SD_t (6) mean SD_h_i (7) Number of demes D
1.06530375 1.6733757760113728 4.3515475 0.7490338244894262 0.6168724511556389 4.9813079964443565 0.21382286672948622 1
1.07449 1.6879905628966152 4.42616625 0.7542819366174066 0.6047048141869918 5.029396691191962 0.19351979308357747 2
1.07844 1.6942696555624612 4.46343625 0.7564966400435218 0.5992918139972697 5.0564002108221615 0.18307982644136325 3
1.08121125 1.6986749557017602 4.4792025 0.758034288712774 0.5954252551901408 5.06258406979664 0.17479200888881413 5
1.08227 1.7003579909827766 4.49026375 0.7586182485900959 0.5939327733237671 5.0679752076685585 0.17019286767063024 7
1.083475 1.7022735116567846 4.496235 0.7592805307523406 0.592223732006264 5.078591421337073 0.16571072642101278 11
1.08430625 1.7035949029931126 4.50833375 0.7597359450615647 0.5910382784299609 5.089137014116826 0.1625830211906094 18
1.085095 1.7048487344716416 4.50848625 0.7601669822989674 0.5899084951230595 5.088141898905812 0.15948729308435947 29
1.085325 1.7052143525256007 4.5125725 0.7602924729164867 0.5895781397421025 5.093037348412488 0.15800202669940258 48
1.0852925 1.7051626891049374 4.50859625 0.7602747460282788 0.5896248453697596 5.084299224526316 0.15799127298391172 78
1.08563875 1.7057131032405142 4.51310625 0.7604635129220928 0.589126827341328 5.088020560716126 0.15714225063284523 127
1.085495 1.705484591956791 4.51130125 0.7603851688246571 0.5893336992361912 5.100255609451928 0.15733914060175855 206
1.08561625 1.7056773362569753 4.51487625 0.760451252695952 0.589159217932361 5.096169757487602 0.15690985518341297 335
1.0854025 1.705337549913353 4.518035 0.7603347374702877 0.5894667315729682 5.097589355664467 0.1568306706793977 545
1.08574375 1.7058800158303642 4.5198275 0.7605207159176138 0.5889756189614826 5.092622052573 0.15618479573146718 885
1.0856075 1.705663426874483 4.51648 0.7604464846032704 0.5891718132034184 5.094975555333354 0.1570586966215218 1000
1.08554875 1.7055700353063585 4.50861 0.7604144668352285 0.5892563660088361 5.08684365474904 0.1562568518241514 1438
1.08561375 1.7056733621476954 4.513195 0.760449890401619 0.589162816635692 5.0986454957991265 0.1571223321133905 2335
1.08541625 1.7053594075144085 4.50864125 0.7603422349408663 0.5894469607135093 5.079646919684989 0.15686916100874776 3792
1.08579875 1.705967446234571 4.513035 0.7605506718790376 0.5888963801956839 5.085198136637148 0.15671373707865005 6158
1.08584875 1.706046928420219 4.52013625 0.760577900096955 0.5888243244433958 5.094160581623191 0.15617820852354583 10000
