# Simulation data for the Moran star walk.
# By mean l, mean t or mean h we refer to l bar, t bar or h bar which are the mean length, time and height in the considered landscape (starting from randomly chosen nodes; in practice, there is a fixed number of walks per starting node). 
# Fixation probability within individual demes is Moran fixation probability (with deterministic steady-state population size).
# If the fixation probability within a deme is inferior to 1e-150, the overall fixation probability is set to 0.
# landscape considered: landscape from Fig. 2E of Hall et al. (2020); see caption of Figure 6 for further details; L = 7.
# Death rates: gw = gm = 0.01. 
# FIXED number of walks per starting node = 10^3.
# alpha = mI / mO = 10.
# Carrying capacity C of each deme = 20.
# (0) mean l (1) mean h (2) mean t (3) SD_l (4) SD_h (5) SD_t (6) mean SD_h_i (7) Number of demes D 
4.170703125 41.88812109372033 69.13378125 2.0835856577339915 0.24707647037136643 58.43719258808454 0.2177447313463975 1
3.842375 41.891132812470296 86.7289765625 1.8115078275767988 0.24659296773413075 88.53144254858654 0.20664064397969728 2
3.75990625 41.895777343720255 90.1378671875 1.7381775631996466 0.24577313685413574 100.24306460025717 0.2008706257533465 3
3.74746875 41.90105468747022 93.6423828125 1.7344694340849673 0.24473131978597196 112.19220725061257 0.19941271149715462 5
3.749796875 41.90560546872018 94.038875 1.7342032453664626 0.24373762911211116 114.96283538598007 0.19758684405378305 7
3.756921875 41.90743749997017 94.232734375 1.7453260512413735 0.24331241972794732 116.98865486002983 0.1965309701224556 11
3.763171875 41.908273437470164 93.557890625 1.74772350193242 0.24311356704600684 116.12866144088169 0.1978882377732686 18
3.77296875 41.90995312497015 92.530390625 1.7506482546540725 0.24270480589124893 113.90320396408792 0.19790731146514173 29
3.770390625 41.909925781220146 91.7254453125 1.7507939727198882 0.2427115587311645 112.06307816096275 0.19779370504862828 48
3.769484375 41.90940234372015 91.663015625 1.7480310485315058 0.24284019757247138 112.56980044746149 0.19799654202788788 78
3.7671875 41.909656249970155 91.3568984375 1.747243783747054 0.24277794758967783 111.26598637978518 0.19764917784738628 127
3.76775 41.909999999970154 90.5295546875 1.7465315449480627 0.2426932219901224 109.83171965396286 0.19793632047593435 206
3.769515625 41.90919921872016 90.864078125 1.7495362107939763 0.24288979496740537 110.39249936417345 0.19806552004847447 335
3.769359375 41.90981249997015 91.3262890625 1.7466016724184494 0.24273949996591537 111.23469352346856 0.19787061913282905 545
#3.7675625 41.90867578122016 90.7690078125 1.7464618686346114 0.24301677451309117 108.92520603513655 0.1979784970960163 885
3.764453125 41.908894531220156 90.7314921875 1.7495049784665755 0.24296385366740644 109.95957242376439 0.19794519021234636 1000
3.763828125 41.909074218720164 89.9902734375 1.7465245046828124 0.24292022698616658 109.14325093978962 0.1978643283721912 1438
3.77084375 41.908621093720164 90.963390625 1.749594571060548 0.24302997215871916 110.6365540734795 0.19808562960821366 2335
3.769109375 41.909554687470155 90.6013203125 1.7500362908489202 0.24280288135989453 110.48924212256631 0.19807064333614047 3792
3.7666875 41.90904296872015 90.3323359375 1.7446981192581275 0.24292782434542257 108.9434816832233 0.19780538938730896 6158
3.769015625 41.90892578122016 90.6409140625 1.7451600839197345 0.2429562765275943 109.78399474696621 0.1982413156430078 10000
