# Simulation data for the Moran star walk.
# By mean l, mean t or mean h we refer to l bar, t bar or h bar which are the mean length, time and height in the considered landscape (starting from randomly chosen nodes; in practice, there is a fixed number of walks per starting node). 
# Fixation probability within individual demes is Moran fixation probability (with deterministic steady-state population size).
# If the fixation probability within a deme is inferior to 1e-150, the overall fixation probability is set to 0.
# landscape considered: landscape from Fig. 3E of Hall et al. (2020); see caption of Figure 6 for further details; L = 7.
# Death rates: gw = gm = 0.01. 
# Within each landscape, FIXED number of walks per starting node = 10^3.
# alpha = mI / mO = 0.1.
# Carrying capacity C of each deme = 20.
# (0) mean l (1) mean h (2) mean t (3) SD_l (4) SD_h (5) SD_t (6) mean SD_h_i (7) Number of demes D 
4.166078125 41.887929687470326 68.692390625 2.07789239528819 0.24710592628700967 57.70753689053754 0.21772276957902376 1
3.847078125 41.89152343747029 86.628671875 1.8085187032892527 0.24652749164793794 88.21288086101129 0.2066945662086194 2
3.74709375 41.89246093747028 102.090609375 1.7289016538574566 0.24636775110932313 119.77845816315185 0.20086312090600697 3
3.677578125 41.894136718720276 128.47665625 1.6732865518262618 0.2460730583746641 178.36014265053365 0.19505796701048891 5
3.64896875 41.89694140622025 151.5275234375 1.6516929380250678 0.24555346541888004 235.42280301610768 0.1914379078345972 7
3.63071875 41.89903906247023 190.2088671875 1.6371106738392147 0.2451431629661152 327.9436902519297 0.18863768081516635 11
3.61228125 41.9031445312202 241.062625 1.6207210342620417 0.24428601842544811 458.34895724696275 0.18586841499057466 18
3.600359375 41.90763671872016 289.63534375 1.6140224970088604 0.24326530507185382 580.1590428313305 0.1834758984772329 29
3.60034375 41.913132812470124 343.895359375 1.6136216662635912 0.2418971847412429 721.3865429918272 0.18257489278166425 48
3.5901875 41.9156210937201 368.6208203125 1.6090828023583958 0.24123406072761217 784.6570483811812 0.18100571966036216 78
3.59909375 41.919859374970066 390.3090390625 1.6121198555655256 0.24004097092896948 837.8669246419041 0.1799657427197848 127
3.5954375 41.92037109372006 400.1278515625 1.607895887050022 0.239891452879154 862.106765170305 0.17958623275843058 206
3.59559375 41.91970312497007 408.514109375 1.6099842654392966 0.2400863893791407 879.3724805157586 0.17979483631065718 335
3.60028125 41.92063281247006 408.359109375 1.6125116033376563 0.2398145237435069 876.7668620650805 0.18011057731677724 545
#3.593828125 41.91958203122007 407.7560703125 1.608131495855128 0.24012151283675337 882.5888559852083 0.18001809072594224 885
3.59153125 41.91980859372007 409.4418125 1.6089486568161282 0.24005574402349458 882.8336001045603 0.17940346608096502 1000
3.59584375 41.919601562470056 410.1297578125 1.605868604707302 0.2401158522411454 885.404450439589 0.18020159971059457 1438
3.601390625 41.92128906247005 413.69884375 1.6142290934561032 0.23962026118005925 894.5590090104772 0.17971579525647552 2335
3.595921875 41.92053124997006 410.9231015625 1.6114635021920714 0.23984441367973533 888.999260985026 0.17964639732523724 3792
3.595375 41.92087109372006 413.8978359375 1.6098516575680277 0.23974421384185196 892.0221898646782 0.17938121006923638 6158
3.59459375 41.92035937497006 414.43665625 1.6071973346353496 0.2398948902115083 897.0669681244833 0.17938492299671419 10000
