# Simulation data for the Wright-Fisher star walk.
# By mean l, mean t or mean h we refer to l bar, t bar or h bar which are the mean length, time and height in the considered landscape (starting from randomly chosen nodes; in practice, there is a fixed number of walks per starting node). 
# Fixation probability within individual demes is Wright-Fisher fixation probability (with deterministic steady-state population size).
# If the fixation probability within a deme is inferior to 1e-150, the overall fixation probability is set to 0.
# landscape considered: landscape from Fig. 3E of Hall et al. (2020); see caption of Figure 6 for further details; L = 7.
# Death rates: gw = gm = 0.01. 
# FIXED number of walks per starting node = 10^3.
# alpha = mI / mO = 0.01.
# Carrying capacity C of each deme = 20.
# (0) mean l (1) mean h (2) mean t (3) SD_l (4) SD_h (5) SD_t (6) mean SD_h_i (7) Number of demes D
3.970703125 41.89597656247028 42.3483125 1.8584312451945146 0.24573594710737862 39.81013541207069 0.20909334069153507 1
3.81684375 41.89751171872025 58.5674296875 1.736362228363463 0.2454437544149532 73.01544303767255 0.200354517635894 2
3.758296875 41.89925781247024 73.8893046875 1.6943983738679342 0.24509930213618747 107.46945600081527 0.19488225228521028 3
3.71821875 41.89964062497023 102.7216171875 1.657512994563722 0.2450220568635488 176.0206326104102 0.19059471456012558 5
3.6985625 41.90161718747022 130.433546875 1.645195029044959 0.2446132988099315 242.60596890118654 0.18890904009587994 7
3.682875 41.90248437497021 183.922765625 1.6297604837440471 0.24442870203999642 373.68784006990666 0.18607082749073148 11
3.667046875 41.905011718720196 261.432609375 1.6148002094847858 0.24387232479327628 566.8776388078525 0.18302586464006532 18
3.661328125 41.90709765622017 369.69440625 1.6134265124525955 0.24339239439794932 835.8807802364643 0.1815860443682275 29
3.657265625 41.91067578122014 517.8359765625 1.610503228246289 0.24252515244727843 1201.0563740130528 0.18042345055943268 48
3.65584375 41.91524218747011 692.0213828125 1.611344617264508 0.2413368122983775 1648.3207156035164 0.17906671180395228 78
3.652703125 41.91946093747008 883.982203125 1.6096614180052824 0.24015657009867022 2114.4580269012413 0.17692536141206872 127
3.654296875 41.92384765622005 1041.3712265625 1.608003995444425 0.23884414095073334 2510.7446236646733 0.17624063113564523 206
3.6533125 41.92764062497 1186.1514140625 1.6038025992441107 0.237638240503597 2889.4941526053867 0.174101585988939 335
3.650125 41.930249999969995 1267.7335859375 1.6057980833142569 0.23676979853849292 3079.907318803946 0.17376732229202826 545
#3.6484375 41.93116015621998 1318.2352578125 1.60324789368137 0.23645936022417663 3203.144193936018 0.17324688822130815 885
3.654546875 41.930976562469986 1309.413 1.6053347434192327 0.23652229562085886 3194.0375188646835 0.17286337682381145 1000
3.652109375 41.93180078121998 1357.9244921875 1.6046622270862547 0.2362385069944244 3296.3686332288594 0.17284672190336972 1438
3.652140625 41.93144531246999 1370.0991328125 1.6085591705700095 0.23636129351434504 3344.812359700052 0.17229915923345818 2335
3.651671875 41.93173828121998 1373.2881328125 1.6053364187403978 0.23626013920730543 3328.4436629302454 0.17323415113702403 3792
3.652390625 41.93224999996997 1385.39803125 1.6035835564170702 0.23608248029014675 3380.8218933479516 0.17314266553819666 6158
3.654296875 41.93142187496998 1384.1186015625 1.6082371869115681 0.23636936830183958 3396.3221905841297 0.1732822718965349 10000
