# Simulation data for the Moran star walk.
# By mean l, mean t or mean h we refer to l bar, t bar or h bar which are the mean length, time and height in the considered landscape (starting from randomly chosen nodes; in practice, there is a fixed number of walks per starting node). 
# Fixation probability within individual demes is Moran fixation probability (with deterministic steady-state population size).
# If the fixation probability within a deme is inferior to 1e-150, the overall fixation probability is set to 0.
# landscape considered: landscape from Lozovsky et al. (2009); see caption of Figure 6 for further details; L = 4.
# Death rates: gw = gm = 0.01. 
# Within each landscape, FIXED number of walks per starting node = 10^4.
# alpha = mI / mO = 0.01.
# Carrying capacity C of each deme = 20.
# (0) mean l (1) mean h (2) mean t (3) SD_l (4) SD_h (5) SD_t (6) mean SD_h_i (7) Number of demes D 
1.9455375 1.7158418499951285 32.72053125 1.4299418995520092 0.13107567046779647 47.08123462132152 0.095481110800436 1
1.8348125 1.7240074749947598 51.7733 1.2988314324212744 0.12907153731196305 84.56405897075933 0.089667499133124 2
1.7893625 1.72765059999462 69.06686875 1.2425505396537773 0.1279993356216513 121.59702518902736 0.08637815283076976 3
1.748225 1.7314411249944872 100.0355875 1.1894891127586997 0.1267630413755618 193.3617492772045 0.08290421587133368 5
1.724975 1.7330809499944437 127.8912 1.1580527835014098 0.12618917523730114 263.80903924529434 0.080460704281077 7
1.702575 1.7351830749943733 182.6825875 1.1264272588032578 0.12541832973496198 405.865260338181 0.07790369268429298 11
1.6865 1.73657332499435 270.02935 1.1028226285296292 0.12488647684359937 638.7977966273991 0.07576196698451973 18
1.673525 1.7377407999943102 380.364175 1.0842689123901654 0.1244260937881551 945.9231783293582 0.07360590431223055 29
1.668575 1.7386988999943023 547.1452125 1.0765140358462653 0.12403879045991748 1407.2870553167793 0.07206073710531995 48
1.666375 1.7396754249942772 747.75314375 1.0722263564085286 0.1236351505483774 1985.0727921434502 0.07138451116892927 78
1.6637 1.7402884749942564 978.827225 1.069276535793985 0.12337712665707819 2679.370094359033 0.0704409201457077 127
1.6622625 1.7399166249942761 1216.72280625 1.0679458699265008 0.12353406027727465 3426.9569760767677 0.07082471635004602 206
1.662325 1.7407892999942463 1395.176975 1.0669351406601215 0.1231636708024255 3980.7085465485543 0.07014671334252427 335
1.6606875 1.7404944999942595 1562.1098 1.0653952446597543 0.1232896081172949 4528.073412790492 0.0702855194776165 545
#1.661125 1.7402767499942544 1645.27778125 1.0662263992103485 0.1233820951736232 4800.35949362177 0.07031766648863991 885
1.6597875 1.7405112499942523 1645.080125 1.0649673491907476 0.12328247492423568 4746.3359449914105 0.07015011120068623 1000
1.6612875 1.740437549994263 1694.02270625 1.0660552717107508 0.12331384086967324 4921.999248890527 0.07030294765902904 1438
1.660025 1.7402784249942633 1716.93045625 1.0643857380561164 0.12338138546619434 4997.610100344176 0.07012732590592943 2335
1.659775 1.7403119249942611 1714.887875 1.065491412155651 0.12336718568081395 5016.595104755387 0.06986015786284913 3792
1.66125 1.7399283499942795 1739.50754375 1.0664067880028227 0.12352913205486359 5085.46861790945 0.07055448836428078 6158
1.6634625 1.7406753999942615 1748.390775 1.069190119246082 0.12321242727449855 5146.352463418503 0.06983831930073892 10000
