# Simulation data for the Wright-Fisher star walk.
# By mean l, mean t or mean h we refer to l bar, t bar or h bar which are the mean length, time and height in the considered landscape (starting from randomly chosen nodes; in practice, there is a fixed number of walks per starting node). 
# Fixation probability within individual demes is Wright-Fisher fixation probability (with deterministic steady-state population size).
# If the fixation probability within a deme is inferior to 1e-150, the overall fixation probability is set to 0.
# landscape considered: landscape from Lozovsky et al. (2009); see caption of Figure 6 for further details; L = 4.
# Death rates: gw = gm = 0.01. 
# FIXED number of walks per starting node = 10^4.
# alpha = mI / mO = 0.01.
# Carrying capacity C of each deme = 20.
# (0) mean l (1) mean h (2) mean t (3) SD_l (4) SD_h (5) SD_t (6) mean SD_h_i (7) Number of demes D
1.8123125 1.7137129249952143 22.25016875 1.2305987982856652 0.13150986840522583 37.298792666083365 0.09249135453695251 1
1.7694125 1.7176893749951363 35.1642 1.1773187354504098 0.13066958717365046 69.31655078954574 0.08931565799853348 2
1.7516625 1.7194229999951303 47.21523125 1.1548932790936977 0.13026356002738163 100.79504908112625 0.08786654726262773 3
1.737275 1.7207864499950942 69.027225 1.1375964022335736 0.12992708992528 159.00841077219442 0.08604250619175688 5
1.7314875 1.7219589499950871 90.18293125 1.1298013264916014 0.12962557508015587 216.07222048986398 0.0855266455517519 7
1.7251375 1.7219572749950705 126.211825 1.1223081600401892 0.12962601388076167 315.29553670753245 0.08474570925657625 11
1.7214875 1.723069474995047 180.64538125 1.1170634661224221 0.12932954775769542 470.8418113886971 0.08410481187114804 18
1.7194375 1.7231632749950747 247.8112625 1.1143875823054832 0.1293040760816295 668.3910511005413 0.08399219811775965 29
1.7190875 1.7233927499950479 331.2644625 1.1151740524884908 0.1292414532860586 917.4838318040321 0.0837584590372872 48
1.7143375 1.7234111749950514 417.57645 1.1094692136760058 0.12923640619101784 1186.3967029853122 0.08350459375108914 78
1.7159875 1.7233173749950441 506.2271375 1.1125474820632573 0.12926207109233892 1470.3891234787895 0.08353753596418433 127
1.7161 1.7235702999950553 577.99129375 1.1118231828859073 0.12919270009515454 1707.5161371292925 0.08332215217926339 206
1.7148 1.723091249995067 616.69546875 1.1107029125740535 0.12932364120060233 1834.246970875227 0.0834339567289583 335
1.7140125 1.7235401499950451 644.90140625 1.1115130003053832 0.12920099743427857 1915.6981486709903 0.0831173469630398 545
#1.714075 1.7241280749950278 667.634875 1.1110229045233704 0.12903783242433847 1980.8483140551916 0.0830590931236837 885
1.7164625 1.7239438249950516 675.72904375 1.1124663977364577 0.12908927703112236 2020.6222248611568 0.08334250366864165 1000
1.7149875 1.723955549995034 688.77908125 1.1102557700105844 0.12908601172936562 2065.70868165212 0.08327702803824956 1438
1.7175625 1.7237193749950634 690.9369625 1.1129258998660352 0.1291515630939297 2068.6140258090786 0.08334497369796728 2335
1.7157625 1.7234413249950422 699.6678375 1.1112871112335563 0.1292281412164526 2084.46211377382 0.08349577556666263 3792
1.7139625 1.7235736499950294 694.93369375 1.111398915148929 0.12919177770137583 2093.165181265502 0.08319913470564796 6158
1.7132625 1.723221899995051 703.82830625 1.1090340869837387 0.129288119177132 2126.342787786551 0.08345373112524357 10000
